"HAUL_ID","OPERATION_ID","CRUISE_ID","CRUISE_LEG_ID","HAUL","STRATUM_ID","STATION_ID","NET_NUMBER","FOOTROPE_NUMBER","PORT_DOOR_NUMBER","STARBOARD_DOOR_NUMBER","SKIPPER_PERSONNEL_ID","AUTOTRAWL_METHOD","HAUL_TYPE","PERFORMANCE","BOTTOM_TYPE","BOTTOM_TYPE_METHOD","STEEPNESS","STEEPNESS_METHOD","START_TIMELOG","END_TIMELOG","DISTANCE_FISHED","DISTANCE_FISHED_METHOD","DOOR_SPREAD","DOOR_SPREAD_METHOD","DOOR_SPREAD_PINGS","DOOR_SPREAD_STANDARD_DEVIATION","NET_SPREAD","NET_SPREAD_METHOD","NET_SPREAD_PINGS","NET_SPREAD_STANDARD_DEVIATION","NET_HEIGHT","NET_HEIGHT_METHOD","NET_HEIGHT_PINGS","NET_HEIGHT_STANDARD_DEVIATION","GEAR_DEPTH","GEAR_DEPTH_METHOD","BOTTOM_DEPTH","BOTTOM_DEPTH_METHOD","WIRE_OUT","WIRE_OUT_METHOD","GEAR","ACCESSORIES","BOTTOM_CONTACT_METHOD","SURFACE_TEMPERATURE","SURFACE_TEMPERATURE_METHOD","GEAR_TEMPERATURE","GEAR_TEMPERATURE_METHOD","WIND_SPEED","WIND_SPEED_METHOD","WIND_DIRECTION","WIND_DIRECTION_METHOD","WAVE_HEIGHT","WAVE_HEIGHT_METHOD","WAVE_DIRECTION","WAVE_DIRECTION_METHOD","SWELL_HEIGHT","SWELL_HEIGHT_METHOD","SWELL_DIRECTION","SWELL_DIRECTION_METHOD","CURRENT_SPEED","CURRENT_SPEED_METHOD","CURRENT_DIRECTION","CURRENT_DIRECTION_METHOD","RECORDER_PERSONNEL_ID","TIME_ZONE","TOTAL_HAUL_WEIGHT","HAUL_CATCH_SAMPLE_METHOD","SPEED_METHOD","STRATUM","STATION","EDIT_DISTANCE_FISHED","EDIT_DISTANCE_FISHED_UNITS","EDIT_DOOR_SPREAD","EDIT_DOOR_SPREAD_UNITS","EDIT_NET_SPREAD","EDIT_NET_SPREAD_UNITS","EDIT_NET_HEIGHT","EDIT_NET_HEIGHT_UNITS","EDIT_GEAR_DEPTH","EDIT_GEAR_DEPTH_UNITS","EDIT_BOTTOM_DEPTH","EDIT_BOTTOM_DEPTH_UNITS","EDIT_WIRE_OUT","EDIT_WIRE_OUT_UNITS","EDIT_SURFACE_TEMPERATURE","EDIT_SURFACE_TEMPERATURE_UNITS","EDIT_GEAR_TEMPERATURE","EDIT_GEAR_TEMPERATURE_UNITS","EDIT_WIND_SPEED","EDIT_WIND_SPEED_UNITS","EDIT_WAVE_HEIGHT","EDIT_WAVE_HEIGHT_UNITS","EDIT_SWELL_HEIGHT","EDIT_SWELL_HEIGHT_UNITS","EDIT_CURRENT_SPEED","EDIT_CURRENT_SPEED_UNITS","EDIT_TOTAL_HAUL_WEIGHT_UNITS","EDIT_TOTAL_HAUL_WEIGHT","DATA_VERSION","CREATE_DATE","CREATED_BY","LOAD_ID","RECORD_SOURCE_ID","DAY_NIGHT_FLAG","TARGET_DEPTH","EDIT_TARGET_DEPTH","EDIT_TARGET_DEPTH_UNITS","DURATION","EDIT_DURATION","EDIT_DURATION_UNITS","ORIGINAL_RECORD_ID","RECORDERS_NAME","ABUNDANCE_HAUL"
20196,,751,520,132,,,15,15,2130,2130,929,,3,0,,,,,3,7,2.896,1,,,,,17.4469,4,6,0.26,2.548,6,645,0.1,62,4,65,5,228.6,5,44,15,5,7.61,14,3.34,6,5,4,180,2,2,2,90,2,4,2,135,2,,,,,,-8,,1,11,41,"P-21",2.896,"KM",,"",17.4469,"M",2.548,"M",62,"M",65,"M",125,"FM",7.61,"C",3.34,"C",5,"KT",2,"FT",4,"FT",,"","",,2017.1,02-JUL-21,"Haehn, Rebecca",1472,11,"",,,"",,,"",12484,"Haehn, Rebecca","Y"
20280,,751,521,155,,,21,21,2130,2130,929,,3,0,,,,,3,7,2.763,1,,,,,18.5876,4,2,0.92,2.126,6,351,0.11,120,4,122,5,365.76,5,44,15,5,9.15,14,3.99,6,0,4,-2,2,1,2,180,2,1,2,247,2,,,,,,-8,,1,11,61,"G-25",2.763,"KM",,"",18.5876,"M",2.126,"M",120,"M",122,"M",200,"FM",9.15,"C",3.99,"C",0,"KT",1,"FT",1,"FT",,"","",,2017.1,12-JUL-21,"Haehn, Rebecca",1480,11,"",,,"",,,"",12507,"Haehn, Rebecca","Y"
20282,,751,521,157,,,21,21,2130,2130,929,,3,0,,,,,3,7,2.817,1,,,,,18.6179,4,0,0,2.267,6,168,0.17,115,4,117,5,365.76,5,44,15,5,8.93,14,3.59,6,5,4,270,2,1,2,180,2,1,2,225,2,,,,,,-8,,1,11,61,"H-25",2.817,"KM",,"",18.6179,"M",2.267,"M",115,"M",117,"M",200,"FM",8.93,"C",3.59,"C",5,"KT",1,"FT",1,"FT",,"","",,2017.1,13-JUL-21,"Haehn, Rebecca",1481,11,"",,,"",,,"",12509,"Haehn, Rebecca","Y"
20283,,751,521,158,,,21,21,2130,2130,929,,3,0,,,,,3,7,2.998,1,,,,,18.5733,4,0,0,2.06,6,247,0.18,118,4,120,5,365.76,5,44,15,5,9.17,14,3.56,6,5,4,315,2,0,2,-2,2,1,2,292,2,,,,,,-8,1753,2,11,61,"I-25",2.998,"KM",,"",18.5733,"M",2.06,"M",118,"M",120,"M",200,"FM",9.17,"C",3.56,"C",5,"KT",0,"FT",1,"FT",,"","KG",1753,2017.1,13-JUL-21,"Haehn, Rebecca",1481,11,"",,,"",,,"",12510,"Haehn, Rebecca","Y"
20369,,751,521,162,,,21,21,2130,2130,929,,3,0,,,,,3,7,2.902,1,,,,,18.6007,4,5,0.67,2.187,6,161,0.18,110,4,112,5,365.76,5,44,15,5,9.93,14,3.07,6,5,4,180,2,1,2,225,2,2,2,270,2,,,,,,-8,,1,11,61,"L-25",2.902,"KM",,"",18.6007,"M",2.187,"M",110,"M",112,"M",200,"FM",9.93,"C",3.07,"C",5,"KT",1,"FT",2,"FT",,"","",,2017.1,14-JUL-21,"Haehn, Rebecca",1483,11,"",,,"",,,"",12514,"Haehn, Rebecca","Y"
20443,,751,521,175,,,19,19,2130,2130,929,,3,0,,,,,3,7,2.824,1,,,,,18.3869,4,18,0.48,2.325,6,232,0.45,105,4,107,5,320.04,5,44,15,5,9.32,14,1.74,6,20,4,225,2,4,2,247,2,8,2,202,2,,,,,,-8,,1,11,61,"R-28",2.824,"KM",,"",18.3869,"M",2.325,"M",105,"M",107,"M",175,"FM",9.32,"C",1.74,"C",20,"KT",4,"FT",8,"FT",,"","",,2017.1,16-JUL-21,"Haehn, Rebecca",1487,11,"",,,"",,,"",12527,"Haehn, Rebecca","Y"
20460,,751,521,179,,,19,19,2130,2130,929,,3,0,,,,,3,7,2.751,1,,,,,18.8009,4,2,0.49,2.287,6,127,0.61,130,4,132,5,411.48,5,44,15,5,9.17,14,3.01,6,20,4,180,2,4,2,180,2,8,2,180,2,,,,,,-8,,1,11,61,"N-28",2.751,"KM",,"",18.8009,"M",2.287,"M",130,"M",132,"M",225,"FM",9.17,"C",3.01,"C",20,"KT",4,"FT",8,"FT",,"","",,2017.1,17-JUL-21,"Haehn, Rebecca",1491,11,"",,,"",,,"",12531,"Haehn, Rebecca","Y"
20461,,751,521,180,,,19,19,2130,2130,929,,3,0,,,,,3,7,2.822,1,,,,,18.791,4,7,0.49,2.262,6,21,0.2,130,4,132,5,411.48,5,44,15,5,9.2,14,2.06,6,20,4,180,2,4,2,180,2,8,2,180,2,,,,,,-8,,1,11,61,"M-29",2.822,"KM",,"",18.791,"M",2.262,"M",130,"M",132,"M",225,"FM",9.2,"C",2.06,"C",20,"KT",4,"FT",8,"FT",,"","",,2017.1,18-JUL-21,"Yeung, Cynthia",1491,11,"",,,"",,,"",12532,"Yeung, Cynthia","Y"
20837,,751,527,226,,,14,14,2130,2130,929,,20,0,,,,,3,7,1.352,1,,,,,18.0323,5,10,1.13,2.413,6,92,0.15,84,4,86,5,274.32,5,44,15,5,11.83,14,3.46,6,25,4,220,2,4,2,220,2,10,2,220,2,,,,,,-8,2060,2,11,31,"E-06",1.352,"KM",,"",18.0323,"M",2.413,"M",84,"M",86,"M",150,"FM",11.83,"C",3.46,"C",25,"KT",4,"FT",10,"FT",,"","KG",2060,2017.1,19-AUG-21,"Britt, Lyle",1556,11,"",,,"",,,"",12637,"Britt, Lyle","N"
20831,,751,527,220,,,14,14,2130,2130,929,,20,0,,,,,3,7,2.778,1,,,,,17.5247,5,0,0,2.446,6,341,0.2,64,4,66,5,228.6,5,44,15,5,11.39,14,3.25,6,10,4,60,2,1,2,60,2,2,2,60,2,,,,,,-8,1936,2,11,31,"I-03",2.778,"KM",,"",17.5247,"M",2.446,"M",64,"M",66,"M",125,"FM",11.39,"C",3.25,"C",10,"KT",1,"FT",2,"FT",,"","KG",1936,2017.1,18-AUG-21,"Britt, Lyle",1555,11,"",,,"",,,"",12631,"Britt, Lyle","N"
20996,,751,527,231,,,14,14,2130,2130,929,,20,0,,,,,3,7,1.503,1,,,,,18.748,5,6,0.2404,2.153,6,104,0.21,131,4,133,5,411.48,5,44,15,5,9.87,14,4.75,6,20,4,120,2,2,2,120,2,6,2,120,2,,,,,,-8,,1,11,50,"B-03",1.503,"KM",,"",18.748,"M",2.153,"M",131,"M",133,"M",225,"FM",9.87,"C",4.75,"C",20,"KT",2,"FT",6,"FT",,"","",,2017.1,20-AUG-21,"Britt, Lyle",1561,11,"",,,"",,,"",12642,"Britt, Lyle","N"
