ID,HAUL_ID,VESSEL,CRUISE,HAUL,UNITS,SPECIES_CODE,SEX,LENGTH,LENGTH_TYPE,LENGTH_DEVICE,RECORDING_DEVICE,CREATE_DATE
10079,55,94,201901,59,"CM",10210,1,13,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:55:35"
10080,55,94,201901,59,"CM",10210,1,16,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:55:37"
10081,55,94,201901,59,"CM",10210,1,27,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:55:40"
10082,55,94,201901,59,"CM",10210,1,16,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:55:41"
10083,55,94,201901,59,"CM",10210,1,36,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:55:43"
10084,55,94,201901,59,"CM",10210,1,24,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:55:44"
10085,55,94,201901,59,"CM",10210,1,17,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:55:45"
10086,55,94,201901,59,"CM",10210,1,23,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:55:47"
10087,55,94,201901,59,"CM",10210,1,19,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:55:48"
10088,55,94,201901,59,"CM",10210,1,15,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:55:49"
10089,55,94,201901,59,"CM",10261,1,38,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:56:12"
10090,55,94,201901,59,"CM",10261,1,29,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:56:17"
10091,55,94,201901,59,"CM",10261,1,18,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:56:20"
10092,55,94,201901,59,"CM",10261,1,30,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:56:21"
10093,55,94,201901,59,"CM",10261,1,17,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:56:22"
10094,55,94,201901,59,"CM",10261,1,18,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:56:24"
10095,55,94,201901,59,"CM",10261,1,13,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:56:27"
10096,55,94,201901,59,"CM",10261,1,30,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:56:28"
10097,55,94,201901,59,"CM",10261,1,33,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:56:29"
10098,55,94,201901,59,"CM",10261,1,29,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:56:30"
10099,55,94,201901,59,"CM",10261,1,22,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:56:32"
10100,55,94,201901,59,"CM",10261,1,12,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:56:34"
10101,55,94,201901,59,"CM",10261,1,31,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:56:35"
10102,55,94,201901,59,"CM",10261,1,33,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:56:38"
10103,55,94,201901,59,"CM",10261,1,33,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:56:39"
10104,55,94,201901,59,"CM",10261,1,30,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:56:41"
10105,55,94,201901,59,"CM",10261,1,22,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:56:42"
10106,55,94,201901,59,"CM",10261,1,32,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:56:43"
10107,55,94,201901,59,"CM",10261,1,33,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:56:45"
10108,55,94,201901,59,"CM",10261,1,12,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:56:48"
10109,55,94,201901,59,"CM",10261,1,18,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:56:50"
10110,55,94,201901,59,"CM",10261,1,14,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:56:51"
10111,55,94,201901,59,"CM",10261,1,14,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:56:52"
10112,55,94,201901,59,"CM",10261,1,20,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:56:55"
10113,55,94,201901,59,"CM",10261,1,15,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:56:56"
10114,55,94,201901,59,"CM",10261,1,19,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:56:58"
10115,55,94,201901,59,"CM",10261,1,14,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:56:59"
10116,55,94,201901,59,"CM",10261,1,15,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:57:03"
10117,55,94,201901,59,"CM",10261,1,14,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:57:06"
10118,55,94,201901,59,"CM",10261,1,14,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:57:08"
10119,55,94,201901,59,"CM",10261,1,13,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:57:09"
10120,55,94,201901,59,"CM",10261,1,13,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:57:13"
10121,55,94,201901,59,"CM",10261,1,19,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:57:14"
10122,55,94,201901,59,"CM",10261,1,13,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:57:15"
10123,55,94,201901,59,"CM",10261,1,14,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:57:17"
10124,55,94,201901,59,"CM",10261,1,15,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:57:19"
10125,55,94,201901,59,"CM",10261,1,16,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:57:20"
10126,55,94,201901,59,"CM",10261,1,14,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:57:23"
10127,55,94,201901,59,"CM",10261,1,17,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:57:25"
10128,55,94,201901,59,"CM",10261,1,17,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:57:29"
10129,55,94,201901,59,"CM",10261,1,12,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:57:30"
10130,55,94,201901,59,"CM",10261,1,15,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:57:31"
10131,55,94,201901,59,"CM",10261,1,16,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:57:33"
10132,55,94,201901,59,"CM",10261,2,33,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:57:48"
10133,55,94,201901,59,"CM",10261,2,16,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:57:50"
10134,55,94,201901,59,"CM",10261,2,39,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:57:52"
10135,55,94,201901,59,"CM",10261,2,18,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:57:54"
10136,55,94,201901,59,"CM",10261,2,38,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:57:56"
10137,55,94,201901,59,"CM",10261,2,40,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:57:58"
