ID,CATCH_SAMPLE_VALUE_ID,CATCH_SAMPLE_ID,SAMPLE_VALUE_UNITS,SAMPLE_VALUE_WEIGHT,SAMPLE_VALUE_WEIGHT_UNITS,SAMPLE_VALUE_COUNT,SAMPLE_VALUE_UNITS_COUNT,KEEP_FLAG,DATABASE_STATUS,RECORDING_DEVICE,STATUS_TIMESTAMP,RECORDER,RECORD_TIMESTAMP
15100,15100,8624,"BSK",2.03,"KG",,1,1,0,"fce7e11b983fefbb","08/15/2019 09:14:13","Dawson, Liz","08/15/2019 09:14:13"
15101,15101,8618,"BSK",32.08,"KG",,1,0,0,"fce7e11b983fefbb","08/15/2019 09:14:21","Dawson, Liz","08/15/2019 09:14:21"
15102,15102,8619,"BSK",26.3,"KG",,1,0,0,"fce7e11b983fefbb","08/15/2019 09:14:36","Dawson, Liz","08/15/2019 09:14:36"
15103,15103,8619,"BSK",19.7,"KG",,1,0,0,"fce7e11b983fefbb","08/15/2019 09:14:43","Dawson, Liz","08/15/2019 09:14:43"
15104,15104,8619,"BSK",14.92,"KG",,1,0,0,"fce7e11b983fefbb","08/15/2019 09:14:51","Dawson, Liz","08/15/2019 09:14:51"
15105,15105,8619,"BSK",27.3,"KG",,1,0,0,"fce7e11b983fefbb","08/15/2019 09:15:02","Dawson, Liz","08/15/2019 09:15:02"
15106,15106,8619,"BSK",22.08,"KG",,1,0,0,"fce7e11b983fefbb","08/15/2019 09:15:14","Dawson, Liz","08/15/2019 09:15:14"
15107,15107,8619,"BSK",23.22,"KG",,1,0,0,"fce7e11b983fefbb","08/15/2019 09:15:23","Dawson, Liz","08/15/2019 09:15:23"
15108,15108,8625,"BSK",4.62,"KG",,1,0,0,"fce7e11b983fefbb","08/15/2019 09:16:38","Dawson, Liz","08/15/2019 09:16:38"
15109,15109,8625,"BSK",0.72,"KG",50,1,1,0,"fce7e11b983fefbb","08/15/2019 09:16:50","Dawson, Liz","08/15/2019 09:16:50"
15110,15110,8626,"BSK",20.92,"KG",,1,0,0,"fce7e11b983fefbb","08/15/2019 09:17:03","Dawson, Liz","08/15/2019 09:17:03"
15111,15111,8626,"BSK",13.12,"KG",,1,0,0,"fce7e11b983fefbb","08/15/2019 09:17:17","Dawson, Liz","08/15/2019 09:17:17"
15112,15112,8626,"BSK",17.16,"KG",50,1,1,0,"fce7e11b983fefbb","08/15/2019 09:17:33","Dawson, Liz","08/15/2019 09:17:33"
15113,15113,8626,"BSK",26.92,"KG",,1,0,0,"fce7e11b983fefbb","08/15/2019 09:17:40","Dawson, Liz","08/15/2019 09:17:40"
15114,15114,8626,"BSK",30.76,"KG",,1,0,0,"fce7e11b983fefbb","08/15/2019 09:17:48","Dawson, Liz","08/15/2019 09:17:48"
15115,15115,8626,"BSK",13.04,"KG",,1,0,0,"fce7e11b983fefbb","08/15/2019 09:17:56","Dawson, Liz","08/15/2019 09:17:56"
15116,15116,8626,"BSK",25.44,"KG",,1,0,0,"fce7e11b983fefbb","08/15/2019 09:18:04","Dawson, Liz","08/15/2019 09:18:04"
15117,15117,8626,"BSK",34.16,"KG",,1,0,0,"fce7e11b983fefbb","08/15/2019 09:18:12","Dawson, Liz","08/15/2019 09:18:12"
15118,15118,8626,"BSK",32.32,"KG",,1,0,0,"fce7e11b983fefbb","08/15/2019 09:18:25","Dawson, Liz","08/15/2019 09:18:25"
15119,15119,8627,"BSK",30.38,"KG",,1,1,0,"fce7e11b983fefbb","08/15/2019 09:18:41","Dawson, Liz","08/15/2019 09:18:41"
15120,15120,8627,"BSK",20.98,"KG",,1,1,0,"fce7e11b983fefbb","08/15/2019 09:19:04","Dawson, Liz","08/15/2019 09:19:04"
15121,15121,8627,"BSK",29.64,"KG",,1,1,0,"fce7e11b983fefbb","08/15/2019 09:19:08","Dawson, Liz","08/15/2019 09:19:08"
15122,15122,8628,"BSK",9.19,"KG",19,1,1,0,"fce7e11b983fefbb","08/15/2019 09:20:08","Dawson, Liz","08/15/2019 09:20:08"
15123,15123,8629,"BSK",0.225,"KG",,1,1,0,"fce7e11b983fefbb","08/15/2019 09:21:29","Dawson, Liz","08/15/2019 09:21:29"
15124,15124,8616,"BSK",-0.715,"KG",,1,1,0,"fce7e11b983fefbb","08/15/2019 09:22:06","Dawson, Liz","08/15/2019 09:22:06"
15125,15125,8624,"BSK",0.63,"KG",,1,1,0,"fce7e11b983fefbb","08/15/2019 09:22:26","Dawson, Liz","08/15/2019 09:22:26"
15126,15126,8617,"BSK",0.065,"KG",,1,1,0,"fce7e11b983fefbb","08/15/2019 09:23:20","Dawson, Liz","08/15/2019 09:23:20"
15127,15127,8630,"BSK",0.125,"KG",2,1,1,0,"fce7e11b983fefbb","08/15/2019 09:23:49","Dawson, Liz","08/15/2019 09:23:49"
15128,15128,8631,"BSK",0.025,"KG",1,1,1,0,"fce7e11b983fefbb","08/15/2019 09:24:05","Dawson, Liz","08/15/2019 09:24:05"
15129,15129,8632,"BSK",1.12,"KG",11,1,1,0,"fce7e11b983fefbb","08/15/2019 09:24:30","Dawson, Liz","08/15/2019 09:24:30"
15130,15130,8631,"BSK",0.02,"KG",1,1,1,0,"fce7e11b983fefbb","08/15/2019 09:24:42","Dawson, Liz","08/15/2019 09:24:42"
15131,15131,8633,"BSK",0.09,"KG",1,1,1,0,"fce7e11b983fefbb","08/15/2019 09:24:54","Dawson, Liz","08/15/2019 09:24:54"
15132,15132,8634,"BSK",0.42,"KG",2,1,1,0,"fce7e11b983fefbb","08/15/2019 09:25:22","Dawson, Liz","08/15/2019 09:25:22"
15133,15133,8635,"BSK",0.235,"KG",1,1,1,0,"fce7e11b983fefbb","08/15/2019 09:25:41","Dawson, Liz","08/15/2019 09:25:41"
15134,15134,8624,"BSK",-0.215,"KG",,1,1,0,"fce7e11b983fefbb","08/15/2019 09:28:26","Dawson, Liz","08/15/2019 09:28:26"
15135,15135,8616,"BSK",0.215,"KG",,1,0,0,"fce7e11b983fefbb","08/15/2019 09:28:35","Dawson, Liz","08/15/2019 09:28:35"
15136,15136,8636,"BSK",5.55,"KG",65,1,1,0,"fce7e11b983fefbb","08/15/2019 09:29:33","Dawson, Liz","08/15/2019 09:29:33"
15137,15137,8637,"BSK",5.885,"KG",40,1,1,0,"fce7e11b983fefbb","08/15/2019 09:31:20","Dawson, Liz","08/15/2019 09:31:20"
15138,15138,8638,"BSK",0.89,"KG",8,1,1,0,"fce7e11b983fefbb","08/15/2019 09:31:52","Dawson, Liz","08/15/2019 09:31:52"
15139,15139,8639,"BSK",0.04,"KG",1,1,1,0,"fce7e11b983fefbb","08/15/2019 09:32:15","Dawson, Liz","08/15/2019 09:32:15"
15140,15140,8641,"BSK",0.515,"KG",,1,1,0,"fce7e11b983fefbb","08/15/2019 09:32:46","Dawson, Liz","08/15/2019 09:32:46"
15141,15141,8642,"BSK",0.315,"KG",,1,1,0,"fce7e11b983fefbb","08/15/2019 09:33:22","Dawson, Liz","08/15/2019 09:33:22"
15142,15142,8643,"BSK",0.33,"KG",3,1,1,0,"fce7e11b983fefbb","08/15/2019 09:33:30","Dawson, Liz","08/15/2019 09:33:30"
15143,15143,8644,"BSK",0.002,"KG",1,1,1,0,"fce7e11b983fefbb","08/15/2019 09:33:51","Dawson, Liz","08/15/2019 09:33:51"
15144,15144,8645,"BSK",0.225,"KG",9,1,1,0,"fce7e11b983fefbb","08/15/2019 09:34:17","Dawson, Liz","08/15/2019 09:34:17"
15145,15145,8646,"BSK",0.455,"KG",4,1,1,0,"fce7e11b983fefbb","08/15/2019 09:34:51","Dawson, Liz","08/15/2019 09:34:51"
15146,15146,8647,"BSK",0.09,"KG",3,1,1,0,"fce7e11b983fefbb","08/15/2019 09:35:35","Dawson, Liz","08/15/2019 09:35:35"
15147,15147,8648,"BSK",0.01,"KG",2,1,1,0,"fce7e11b983fefbb","08/15/2019 09:35:54","Dawson, Liz","08/15/2019 09:35:54"
15148,15148,8649,"BSK",0.01,"KG",1,1,1,0,"fce7e11b983fefbb","08/15/2019 09:36:12","Dawson, Liz","08/15/2019 09:36:12"
15149,15149,8650,"BSK",0.5,"KG",,1,1,0,"fce7e11b983fefbb","08/15/2019 09:36:45","Dawson, Liz","08/15/2019 09:36:45"
15150,15150,8637,"BSK",0.005,"KG",1,1,1,0,"fce7e11b983fefbb","08/15/2019 09:37:02","Dawson, Liz","08/15/2019 09:37:02"
